Date,Yards,Score
2023-04-16,3300,49
2023-04-16,3300,47
2023-04-19,3100,45
2023-04-20,3100,44
2023-04-23,3100,39
2023-04-25,3100,40
2023-04-29,3100,47
2023-04-29,3100,38
2023-05-02,3100,51
2023-05-04,3100,42
2023-05-06,3100,42
2023-05-09,3100,51
2023-05-16,3100,43
2023-05-19,3300,45
2023-05-24,3300,40
2023-05-29,3300,45
2023-05-30,3300,46
